id,category,question,answer,keywords,source_document
IT-011,Password Reset,My account is locked after failed login attempts. How do I unlock it?,"Self-service reset at https://password.amdocs.internal automatically unlocks your account after five failed attempts once you successfully change your password. If self-service fails, contact the IT Service Desk at extension 4357 or submit a ticket under Account Management > Password Reset – Assisted.",locked account;password reset;Service Desk;unlock,password-reset.md
IT-012,Password Reset,How long does password propagation take after a reset?,"Wait up to 10 minutes for password propagation across integrated systems. Test login on your workstation first, then Outlook, then VPN in that order. Update saved credentials in password managers and mobile apps to prevent re-lockouts.",password sync;propagation;workstation;Outlook;VPN,password-reset.md
IT-013,Password Reset,How often do Amdocs passwords expire?,"Passwords expire every 90 days. You will receive email reminders at 14, 7, and 1 day(s) before expiration from noreply-security@amdocs.com. Reset proactively to avoid login disruptions.",password expiration;90 days;security reminder,password-reset.md
IT-014,Password Reset,What identity verification is required for an assisted password reset?,"Contact the IT Service Desk and be prepared to provide your Employee ID, the last four digits of the phone number on file in Workday, and your manager name. Amdocs IT will never ask for your actual password.",assisted reset;identity verification;Service Desk,password-reset.md
IT-015,MFA Setup,How do I enroll in MFA at Amdocs?,"New employees receive an enrollment email from okta-admin@amdocs.com within 24 hours of account creation. Install Okta Verify on your registered mobile device, click the enrollment link (valid 72 hours), sign in at https://amdocs.okta.com, and scan the QR code displayed on screen.",MFA;Okta Verify;enrollment;multi-factor authentication,mfa-setup.md
IT-016,MFA Setup,What backup MFA factors does Amdocs require?,"After primary Okta Verify enrollment you must register at least one backup factor: a secondary device with Okta Verify, a YubiKey 5 NFC requested via ServiceNow (Account Management > MFA Hardware Token), or three security questions in Okta as a last resort.",MFA;backup factor;YubiKey;security questions,mfa-setup.md
IT-017,MFA Setup,How do I transfer MFA when I get a new phone?,"Before decommissioning your old phone, log in to https://amdocs.okta.com, go to Settings > Security Methods, and add your new device. Remove the old device only after confirming the new one works on VPN, Outlook, and ServiceNow.",MFA;device replacement;Okta;phone change,mfa-setup.md
IT-018,MFA Setup,What should I do if I lose access to all MFA factors?,Contact the IT Service Desk for identity verification and a temporary bypass code. Bypass codes are single-use and expire after 24 hours. Re-enroll a permanent MFA factor immediately after regaining access.,MFA recovery;bypass code;locked out;Service Desk,mfa-setup.md
IT-019,MFA Setup,Which systems require Okta MFA at Amdocs?,"MFA is mandatory for VPN (GlobalProtect), email (Outlook/OWA), ServiceNow, GitLab, and cloud consoles (AWS, Azure). Contractors must enroll within 48 hours of account activation or the account will be suspended.",MFA;Okta;VPN;GitLab;ServiceNow;compliance,mfa-setup.md
IT-020,MFA Setup,I received an unexpected Okta push notification. What should I do?,Do not approve Okta push notifications you did not initiate. Report unexpected prompts immediately to security@amdocs.com. Okta Verify push notifications must be approved within 60 seconds or the login attempt fails.,MFA;phishing;Okta push;security incident,mfa-setup.md
IT-021,Service Desk,How do I submit an IT incident ticket at Amdocs?,"Navigate to https://amdocs.service-now.com, click Create Incident, and select the most specific category and subcategory. Include a descriptive short description, steps to reproduce, your Employee ID, location, device asset tag, business impact level, and screenshots if applicable.",ServiceNow;incident;ticket;IT support,service-desk-tickets.md
IT-022,Service Desk,What is the SLA for a Priority 1 (Unable to Work) incident?,"P1 incidents have a 4-hour response target and 8-hour resolution target. For complete inability to work, use live chat on the ServiceNow portal (07:00–19:00 local) or call the Service Desk at internal extension 4357. After-hours P1 support is available via the NOC bridge at +1-314-555-0192.",SLA;P1;priority;escalation;NOC,service-desk-tickets.md
IT-023,Service Desk,How do I escalate an unresolved ServiceNow ticket?,"If your ticket exceeds the SLA without resolution, click Escalate on the ticket or email servicedesk-escalation@amdocs.com with the ticket number. Do not create duplicate tickets for the same issue; reference the existing INC number instead.",escalation;SLA;ServiceNow;duplicate ticket,service-desk-tickets.md
IT-024,Service Desk,What happens if my ticket is placed On Hold?,"Respond promptly to On Hold tickets awaiting your input. Tickets auto-close after 5 business days if you do not respond. When IT marks a ticket Resolved, test the fix and click Reopen if the issue persists or Close if satisfied.",On Hold;ticket status;auto-close;resolution,service-desk-tickets.md
IT-025,Service Desk,Should I use incidents or the Service Catalog for IT requests?,"Use incidents for break/fix issues only. Service requests such as access, hardware, and software should be submitted through the Service Catalog module in ServiceNow, not as incidents.",Service Catalog;incident;request type;ServiceNow,service-desk-tickets.md
IT-026,Service Desk,What are the SLA targets for P2 and P3 incidents?,P2 (Degraded) targets are 8-hour response and 24-hour resolution. P3 (Low Impact) targets are 24-hour response and 72-hour resolution. Include accurate business impact when submitting to ensure correct prioritization.,SLA;P2;P3;response time;resolution time,service-desk-tickets.md
IT-027,New Laptop,How do I request a new Amdocs laptop?,"Submit a ServiceNow request under IT Services > Hardware > New Laptop Request. Enter your Employee ID, preferred platform (Windows or macOS for Tier 2/3), delivery location, and business justification for non-standard configurations. Manager approval is required.",new laptop;hardware request;ServiceNow;Tier,new-laptop-request.md
IT-028,New Laptop,What laptop tier am I eligible for based on my role?,"Tier 1 (Standard): Dell Latitude 5540 for business analysts, HR, finance, and admin. Tier 2 (Developer): Dell Precision 5570 or MacBook Pro 14 inch (M3) for engineers and QA. Tier 3 (Power User): Dell Precision 7670 or MacBook Pro 16 inch (M3 Max) for data scientists and executive staff. Role classification is determined in Workday.",laptop tier;hardware standard;Dell;MacBook;Workday,new-laptop-request.md
IT-029,New Laptop,How long does new laptop delivery take at Amdocs?,"Standard delivery is 5–7 business days for office pickup and 7–10 business days for home shipment. International shipments may require 3–5 additional business days. The device is configured with GlobalProtect, Okta Verify, Microsoft 365, CrowdStrike, and encryption before delivery.",laptop delivery;provisioning;lead time;endpoint,new-laptop-request.md
IT-030,New Laptop,What happens during the Device Handoff Session?,"You will receive a calendar invite for a 30-minute session with an IT technician. During handoff you sign the Asset Assignment Form, complete initial login, and register the device in Jamf (Mac) or Intune (Windows). Verify email, VPN, Teams, and role-specific tools afterward.",device handoff;MDM;Jamf;Intune;onboarding,new-laptop-request.md
IT-031,New Laptop,How do I return my old laptop when receiving a replacement?,Return the old device within 10 business days of receiving the new one. Drop it off at your local IT service window or use the prepaid return label included with home shipments. Do not wipe the device yourself; IT handles secure data destruction.,laptop return;asset;data wipe;replacement,new-laptop-request.md
IT-032,New Laptop,What should I do if my Amdocs laptop is lost or stolen?,Report immediately to security@amdocs.com and the Service Desk. Remote wipe will be initiated within 30 minutes. Lost or stolen devices must be reported even if you believe the device is recoverable.,lost laptop;stolen device;remote wipe;security,new-laptop-request.md
IT-033,Hardware Replacement,How do I request a laptop repair or replacement?,"Submit a ServiceNow request under Hardware > Laptop Repair/Replacement. Include your Employee ID, device asset tag (ADM-IT-XXXXXX), issue description, troubleshooting steps attempted, and whether you need a temporary loaner. Manager approval is required for standard replacements.",hardware repair;laptop replacement;asset tag;loaner,hardware-replacement.md
IT-034,Hardware Replacement,Can I get an emergency hardware replacement if my laptop is completely dead?,Yes. Submit under Hardware > Emergency Replacement for devices that are completely non-functional and blocking all work. Emergency replacements are auto-approved for P1 business impact with post-hoc manager notification. Loaner Dell Latitude 5440 laptops are available during repair.,emergency replacement;P1;loaner laptop;non-functional,hardware-replacement.md
IT-035,Hardware Replacement,Where are IT Walk-Up Centers located?,"Visit IT Walk-Up Centers at Ra'anana, St. Louis, and Pune offices (hours 09:00–17:00 local time) for in-person device evaluation. Remote employees receive a prepaid shipping label for mail-in evaluation.",Walk-Up Center;diagnostics;Ra'anana;remote shipment,hardware-replacement.md
IT-036,Hardware Replacement,What happens if I damage my laptop accidentally?,"Accidental damage (drops, liquid spills) is covered once per device lifecycle. Subsequent damage incidents require department cost center chargeback at full replacement cost. Submit a repair/replacement ticket with an honest description of the incident.",accidental damage;chargeback;warranty;repair policy,hardware-replacement.md
IT-037,Hardware Replacement,When is a laptop battery eligible for replacement?,Battery replacement is offered when capacity falls below 80% on devices older than 18 months. Submit a Hardware > Laptop Repair/Replacement ticket with your asset tag and describe the battery performance issue.,battery replacement;80% capacity;hardware lifecycle,hardware-replacement.md
IT-038,Hardware Replacement,Can I dispose of old Amdocs hardware myself?,No. All Amdocs hardware must be returned to IT for secure data wiping and environmentally compliant recycling. Amdocs is e-Stewards certified. Return defective hardware within 5 business days of receiving a replacement to avoid chargeback.,hardware disposal;e-waste;return policy;asset tag,hardware-replacement.md
IT-039,Email Configuration,How do I access Amdocs email on a managed Windows laptop?,"Outlook is pre-installed and auto-configured via Intune on Amdocs-managed Windows devices. Open Outlook, enter your @amdocs.com address, and authenticate with your network password and Okta MFA. Autodiscover resolves settings to outlook.office365.com.",Outlook;Windows;Intune;email setup,email-configuration.md
IT-040,Email Configuration,How do I access email from a web browser?,"Navigate to https://mail.amdocs.com or https://outlook.office.com. Sign in with your Amdocs email and complete Okta MFA. OWA provides full email, calendar, and contacts without local installation.",OWA;webmail;Outlook Web Access;browser,email-configuration.md
IT-041,Email Configuration,How do I set up Outlook on my mobile phone?,Install Microsoft Outlook from the official app store. Add your @amdocs.com account and authenticate through Okta with MFA push approval. Intune App Protection Policies automatically separate Amdocs data from personal apps.,mobile email;Outlook;iOS;Android;Intune,email-configuration.md
IT-042,Email Configuration,How do I request access to a shared mailbox?,Submit a ServiceNow request under Account Management > Shared Mailbox Access for mailboxes such as project-alpha@amdocs.com. Distribution list membership is managed by list owners via https://lists.amdocs.internal.,shared mailbox;distribution list;Exchange;access request,email-configuration.md
IT-043,Email Configuration,What is the maximum email attachment size at Amdocs?,Maximum attachment size is 25 MB via email. For larger files use SharePoint or OneDrive links. External email forwarding to personal accounts is blocked by DLP policy.,attachment size;SharePoint;OneDrive;DLP;email limits,email-configuration.md
IT-044,Email Configuration,How do I configure my Amdocs email signature?,"Download the standardized signature template for your region from the Brand Portal at https://brand.amdocs.internal/signatures. Required fields include full name, job title, department, office location, phone number, and the Amdocs legal disclaimer footer.",email signature;Brand Portal;template;compliance,email-configuration.md
IT-045,SharePoint Access,How do I request access to a SharePoint site?,"Submit a ServiceNow ticket under Access Management > SharePoint / Shared Drive Access. Provide the site URL (https://amdocs.sharepoint.com/sites/{site-name}), requested permission level (Read, Contribute, Edit, or Full Control), business justification, and project code (PRJ-XXXX). Site owner approval is required.",SharePoint;shared drive;access request;ServiceNow,shared-drive-access.md
IT-046,SharePoint Access,How long does SharePoint access provisioning take?,"Upon approval, access is provisioned within 4 business hours. You receive an email confirmation with a direct link. Access is granted through AD security groups named SP-{SiteName}-{PermissionLevel}.",SharePoint provisioning;AD group;access timeline,shared-drive-access.md
IT-047,SharePoint Access,How do I sync SharePoint files to my laptop?,"Use the OneDrive sync client (pre-deployed on managed devices). Navigate to the SharePoint site, click Sync, and files appear in File Explorer under {Organization} > {Site Name}. On Windows, migrated shares may also appear as mapped drives (S: or P:) after group membership syncs.",OneDrive sync;SharePoint;mapped drive;File Explorer,shared-drive-access.md
IT-048,SharePoint Access,Can I share Restricted documents externally?,No. Restricted data cannot be externally shared. External sharing for Confidential data or below requires site owner approval and is limited to @amdocs.com collaborators unless explicitly approved.,external sharing;Restricted data;Confidential;data classification,shared-drive-access.md
IT-049,SharePoint Access,How do I remove SharePoint access when leaving a project?,Submit an access removal request in ServiceNow or ask the site owner to remove you from the AD group. Access reviews are conducted quarterly by site owners. Update bookmarks if you used legacy UNC paths that now redirect to SharePoint.,access removal;offboarding;quarterly review;SharePoint,shared-drive-access.md
IT-050,SharePoint Access,What is the default SharePoint site storage quota?,Default site storage quota is 256 GB. Requests for additional storage require VP-level approval. Contact the Collaboration Team at collaboration@amdocs.com for quota increase requests.,storage quota;SharePoint;256 GB;Collaboration Team,shared-drive-access.md
IT-051,Printer Setup,How do I print at an Amdocs office?,"Send documents to the Amdocs-Global-Print queue (deployed automatically via MDM). Walk to any multifunction printer, tap your badge or enter Employee ID and password, select your held jobs, and tap Print. Jobs not released within 24 hours are automatically deleted.",printing;secure print;Amdocs-Global-Print;MFP,printer-setup.md
IT-052,Printer Setup,How do I scan a document to email at an Amdocs printer?,"At the MFP select Scan, choose Scan to Email, and authenticate with your badge or credentials. Scans are sent to your @amdocs.com mailbox as PDF attachments. Maximum scan size is 50 pages per job.",scan to email;MFP;PDF;printer,printer-setup.md
IT-053,Printer Setup,How do I request a home office printer for remote work?,Employees approved for permanent remote work may request one HP LaserJet Pro per household via ServiceNow under Hardware > Home Office Printer. The device must connect via VPN for driver deployment and usage is logged.,home printer;remote work;hardware request;HP LaserJet,printer-setup.md
IT-054,Printer Setup,What are the monthly print quotas at Amdocs?,Default quotas are 500 black-and-white pages and 100 color pages per employee per month. Color printing requires manager approval and is tracked by cost center. Exceeding quotas requires cost center manager approval for overage.,print quota;color printing;cost center;policy,printer-setup.md
IT-055,Printer Setup,How do I report a printer jam or toner issue?,"Scan the QR code on the printer to auto-create a ServiceNow ticket, or submit manually under Facilities > Printer Support. For toner and supply issues contact print-services@amdocs.com.",printer issue;ServiceNow;toner;jam;QR code,printer-setup.md
IT-056,Production Access,What training is required before requesting production access?,"Complete PROD-101 (Production Access Fundamentals), SEC-205 (Handling Customer Data in Production), and CHG-110 (Change Management for Production Systems) in the Amdocs Learning Portal before submitting a Production Access Request. PROD-101 requires annual renewal.",production access;training;ALP;PROD-101;prerequisites,production-access.md
IT-057,Production Access,How do I submit a Production Access Request (PAR)?,"In ServiceNow go to IT Services > Access Management > Production Access Request. Provide Employee ID, target system name (e.g., ces-prod-us-east-1), access level (Read-Only, Read-Write, or Admin), and business justification tied to a Jira ticket or change request number.",PAR;production;ServiceNow;access request,production-access.md
IT-058,Production Access,Who approves production access requests at Amdocs?,"PARs require sequential approval from your direct manager, the system owner (listed in CMDB), Information Security (for Read-Write and Admin), and the CAB liaison (for Admin only). Plan for multi-day approval cycles.",production approval;CAB;Information Security;system owner,production-access.md
IT-059,Production Access,How do I connect to production systems after approval?,Connect via the Amdocs jump host at jump-prod.amdocs.internal using your CyberArk session. All production sessions are recorded and monitored by the SOC. Direct SSH or RDP to production servers from VPN is blocked by firewall policy.,CyberArk;jump host;production;privileged access,production-access.md
IT-060,Production Access,How long does production access remain active?,"Production access expires after 90 days. Submit a renewal PAR at least 10 business days before expiration. Access is automatically revoked upon role change, transfer, or termination.",production access;90 days;renewal;revocation,production-access.md
IT-061,Production Access,Is emergency production access available outside business hours?,Yes. Emergency break-glass access is available 24/7 through the NOC at +1-314-555-0192. Post-incident review is required within 24 hours for all break-glass usage.,break-glass;emergency access;NOC;after hours,production-access.md
IT-062,Remote Work,What IT equipment can I request for remote work?,"Submit a ServiceNow request under Hardware > Remote Work Kit for an external 27 inch Dell monitor, USB-C dock, wireless keyboard/mouse, and optional ergonomic chair (manager approval required). You must have an Amdocs-managed laptop before requesting the kit.",remote work kit;monitor;dock;home office;hardware,remote-work-setup.md
IT-063,Remote Work,What are the IT requirements for working remotely at Amdocs?,"Install GlobalProtect VPN, verify Okta MFA enrollment, and test access to email, Teams, GitLab, and SharePoint. Use a password-protected WPA2 or WPA3 home router. Do not use public WiFi for Amdocs work without VPN connected.",remote work;VPN;MFA;home network;security,remote-work-setup.md
IT-064,Remote Work,Which remote work orientation course must I complete?,New remote employees must complete RW-101: Remote Work Security and Productivity in the Amdocs Learning Portal within the first week. Confirm your remote arrangement is documented in Workday under My Profile > Work Arrangements.,RW-101;remote orientation;Workday;learning portal,remote-work-setup.md
IT-065,Remote Work,How do I get IT support while working remotely?,"IT Walk-Up Centers are unavailable remotely. Use ServiceNow at https://amdocs.service-now.com, call the Service Desk at extension 4357, or use live chat for urgent issues during regional business hours.",remote support;Service Desk;ServiceNow;walk-up,remote-work-setup.md
IT-066,Remote Work,Can I print Restricted documents at home?,Printing Restricted documents at home is prohibited unless an approved home printer is deployed through the Hardware > Home Office Printer request. Default remote printing policy applies to permanent remote employees only.,Restricted data;home printing;remote work;compliance,remote-work-setup.md
IT-067,Remote Work,Does Amdocs provide a remote work stipend for internet costs?,Employees in permanent remote arrangements receive $75/month via payroll for internet and utilities. No receipt submission is required. Home office equipment remains Amdocs property and must be returned upon termination or return-to-office.,remote stipend;internet;payroll;equipment return,remote-work-setup.md
IT-068,Software Installation,How do I install approved software on my Amdocs Mac?,"Open the Amdocs Self Service app from Applications. Browse categories (Development, Productivity, Design, Utilities) and click Install. Self-Service catalog items deploy within 30 minutes after MDM check-in. Common tools include IntelliJ IDEA, Docker Desktop, and Postman.",Self Service;macOS;software catalog;Jamf;MDM,software-installation.md
IT-069,Software Installation,How do I install software on my Amdocs Windows laptop?,"Open Company Portal from the Start menu, select Apps, and install available packages. For catalog items marked Self-Service at https://software.amdocs.internal, click Install and deployment pushes within 30 minutes. Visual Studio 2022 and SSMS are commonly installed this way.",Company Portal;Windows;Intune;software deployment,software-installation.md
IT-070,Software Installation,How do I request software not in the Amdocs catalog?,"Create a ServiceNow ticket under IT Services > Software > Software Installation Request. Include application name, version, vendor website, business justification, and whether a license is already available. SAM verifies licensing in 2 business days; new apps may require 3–5 day security review.",software request;non-catalog;SAM;security review,software-installation.md
IT-071,Software Installation,Can I install software from public download sites?,"No. Installing software from public download sites, unapproved browser extensions, or package managers (Homebrew, Chocolatey) without explicit IT approval is prohibited under the Acceptable Use Policy. Use the Amdocs Software Catalog or submit an installation request.",unapproved software;Acceptable Use Policy;Homebrew;Chocolatey,software-installation.md
IT-072,Software Installation,How do I request temporary local admin rights for development?,Submit a Temporary Admin Access Request (KB-IT-0091) in ServiceNow with a maximum duration of 72 hours per request. Include business justification and the specific tools requiring elevated privileges.,local admin;temporary elevation;developer;ServiceNow,software-installation.md
IT-073,Software Installation,Is virtualization software allowed on Amdocs laptops?,VMware Fusion and Parallels are approved only for Tier 2 and Tier 3 hardware with minimum 32 GB RAM. Submit a software installation request if your device meets these requirements and you have business justification.,virtualization;VMware;Parallels;RAM requirement,software-installation.md
IT-074,Software License,How do I request a new software license at Amdocs?,"Create a ServiceNow ticket under Software > License Request with software name and edition, vendor, number of licenses, license type, business justification, project code, and requested start date. Check https://software.amdocs.internal/licenses first for existing department pool licenses.",license request;SAM;Software Asset Management;procurement,software-license-requests.md
IT-075,Software License,When is additional budget approval required for software licenses?,"Manager approval is always required. If annual cost exceeds $5,000 USD, additional approval from your department budget owner (director or VP) is required. Costs under $5,000 are auto-approved if budget exists in the FinOps dashboard.",budget approval;$5000;FinOps;license cost,software-license-requests.md
IT-076,Software License,What is Amdocs policy on shadow IT software purchases?,Purchasing software on personal credit cards or expensing without Software Asset Management approval is shadow IT and a policy violation subject to disciplinary action. All commercial software must flow through the License Request process.,shadow IT;policy violation;SAM;compliance,software-license-requests.md
IT-077,Software License,Can I share my Adobe Creative Cloud license with a colleague?,No. License sharing is prohibited. Each user requires an individual named license unless the contract specifies concurrent licensing. Adobe Creative Cloud all apps is limited to Marketing and Design; engineers should request Adobe Acrobat Pro Standard instead.,license sharing;Adobe;named license;concurrent,software-license-requests.md
IT-078,Software License,When does Amdocs conduct software license true-up reviews?,Department software coordinators conduct annual true-up reviews every November. Unused licenses are reclaimed and redeployed. Notify sam@amdocs.com proactively if you hold licenses for software you no longer use.,true-up;license audit;November;SAM;reclamation,software-license-requests.md
IT-079,WiFi Access,Which WiFi network should Amdocs employees use in the office?,"Connect to Amdocs-Corp, the primary employee network using 802.1X certificate-based authentication. Amdocs-Guest is for visitors with voucher codes. Amdocs-IoT is for smart office devices only and must not be used by employees.",WiFi;Amdocs-Corp;SSID;office network,wifi-access.md
IT-080,WiFi Access,Why is my personal device not connecting to Amdocs-Corp WiFi?,"Amdocs-Corp requires device compliance: encrypted disk, updated OS, and active endpoint protection. Non-compliant devices are placed on a remediation VLAN. For BYOD, download the WiFi profile from https://wifi.amdocs.internal if certificate installation fails during manual setup.",BYOD;WiFi compliance;remediation VLAN;certificate,wifi-access.md
IT-081,WiFi Access,How do I register guest WiFi access for a visitor?,Pre-register guests in the Amdocs Visitor Portal at https://visitors.amdocs.internal at least 2 hours before arrival. Guests receive a WiFi voucher code via SMS or email for the Amdocs-Guest network. Sessions expire after 24 hours with internet-only access.,guest WiFi;visitor portal;voucher;Amdocs-Guest,wifi-access.md
IT-082,WiFi Access,Do I need VPN when connected to office WiFi?,"VPN is still required to access most internal applications even when on Amdocs-Corp WiFi, except at Ra'anana HQ where direct routing applies for select internal apps. Always verify access to required tools after connecting.",VPN;office WiFi;Ra'anana;internal apps,wifi-access.md
IT-083,WiFi Access,How do I troubleshoot office WiFi connectivity issues?,"Verify MDM enrollment and compliance, forget the network and reconnect, and move closer to an access point. If issues persist, submit a ServiceNow ticket under Network > WiFi Connectivity. Contact network-support@amdocs.com or extension 4720.",WiFi troubleshooting;ServiceNow;network support;MDM,wifi-access.md
IT-084,WiFi Access,What should I do if I see a suspicious WiFi network named like Amdocs?,"Report rogue access points resembling Amdocs networks (e.g., Amdocs-Free) immediately to security@amdocs.com and do not connect. Employee WiFi authentication is individually logged and credentials must not be shared.",rogue AP;WiFi security;phishing;security@amdocs.com,wifi-access.md
IT-085,GitLab Access,How do I get access to a specific GitLab project at Amdocs?,"Submit a ServiceNow request under Access Management > GitLab Repository Access. Include the GitLab project path (e.g., billing/ces-integration), desired role (Guest, Reporter, Developer, Maintainer, or Owner), and a Jira epic or project reference. Maintainer approval is required.",GitLab;repository access;ServiceNow;project path,git-repository-access.md
IT-086,GitLab Access,Do new engineering hires get default GitLab access?,Yes. Employees in engineering job families (Job Family Code ENG-*) receive GitLab Developer role at the group level upon hire. Confirm access by navigating to https://gitlab.amdocs.internal and signing in with Amdocs SSO (Okta).,GitLab;default access;engineering;SSO;onboarding,git-repository-access.md
IT-087,GitLab Access,How do I configure SSH keys for GitLab at Amdocs?,Generate an ed25519 key on your Amdocs device with ssh-keygen -t ed25519 -C firstname.lastname@amdocs.com. Add the public key in GitLab under User Settings > SSH Keys. Use SSH URLs for development. Do not use RSA keys shorter than 4096 bits.,SSH key;GitLab;ed25519;clone;developer setup,git-repository-access.md
IT-088,GitLab Access,Is VPN required to access GitLab from home?,"Yes. VPN connection is required for GitLab access from outside Amdocs offices, except at Ra'anana HQ which has a direct route. Connect GlobalProtect before accessing gitlab.amdocs.internal remotely.",GitLab;VPN;remote access;Ra'anana;GlobalProtect,git-repository-access.md
IT-089,GitLab Access,What are the branch protection rules on Amdocs GitLab?,"Production-bound repositories enforce branch protection on main and release/* branches: minimum one approval, pipeline must pass, and no force push. Direct commits to protected branches are blocked. GPG commit signing is mandatory for main and release/* branches.",branch protection;GPG signing;CI/CD;merge request,git-repository-access.md
IT-090,GitLab Access,Can I store API keys or secrets in GitLab repositories?,"No. Do not store secrets, API keys, or credentials in repositories. Use GitLab CI/CD variables or HashiCorp Vault at vault.amdocs.internal. External collaborators receive Guest or Reporter roles only and must use Amdocs-provisioned accounts.",secrets management;Vault;CI/CD variables;compliance,git-repository-access.md
